time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,day,year,tavg_lag1,prcp_lag1,wpgt_lag3
2022-09-25,0.9290853947161263,24.0,35.0,-0.20530867465337585,0.0,0.0,20.2,2.8709225336637503,1013.2,0.09790946600210998,9,25,2022,0.8623129497676537,-0.20530867465337585,-0.5864305639159401
2022-09-26,0.9290853947161263,24.0,35.5,-0.20530867465337585,0.0,0.0,16.2,1.7115705967508001,1013.1,-0.06817215780011084,9,26,2022,0.9290853947161263,-0.20530867465337585,1.7115705967508001
2022-09-27,0.9791647284274809,24.0,36.0,-0.20530867465337585,0.0,0.0,14.2,0.5522186598378499,1012.8,0.21416660266366455,9,27,2022,0.9290853947161263,-0.20530867465337585,2.8709225336637503
2022-09-28,1.062630284613072,24.8,35.4,-0.20530867465337585,0.0,0.0,12.8,1.3389217598859224,1012.8,-0.08478032018033292,9,28,2022,0.9791647284274809,-0.20530867465337585,2.8709225336637503
2022-09-29,1.229561396984254,25.0,37.2,-0.20530867465337585,0.0,0.0,16.4,2.8709225336637503,1012.6,-0.21764561922210957,9,29,2022,1.062630284613072,-0.20530867465337585,1.7115705967508001
2022-09-30,1.229561396984254,26.0,37.4,-0.20530867465337585,0.0,0.0,19.5,4.0095717574175405,1014.5,-0.516592542066107,9,30,2022,1.229561396984254,-0.20530867465337585,0.5522186598378499
2022-10-01,1.146095840798663,25.7,37.0,-0.20530867465337585,0.0,0.0,15.3,1.7115705967508001,1016.0,-0.018347670659444593,10,1,2022,1.229561396984254,-0.20530867465337585,1.3389217598859224
2022-10-02,0.9958578396645994,24.0,35.5,-0.20530867465337585,0.0,0.0,11.5,0.9455702098618862,1011.4,-0.3172945935034421,10,2,2022,1.146095840798663,-0.20530867465337585,2.8709225336637503
2022-10-03,0.7120749486335901,24.6,32.0,-0.20530867465337585,0.0,0.0,13.9,0.5522186598378499,1008.6,-1.2141353620354345,10,3,2022,0.9958578396645994,-0.20530867465337585,4.0095717574175405
2022-10-04,0.49506450255105344,22.9,31.0,-0.20530867465337585,0.0,0.0,10.2,-0.5864305639159401,1010.6,-1.3968251482178773,10,4,2022,0.7120749486335901,-0.20530867465337585,1.7115705967508001
